order_id,order_date,order_time,city,zone,rider_id,vehicle_type,order_type,distance_km,promised_delivery_mins,actual_delivery_mins,delay_mins,delivery_status,weather_condition,order_value_inr,delivery_attempts,rider_experience_yrs,rider_rating,gps_latitude,gps_longitude
ORD000018,2024-07-28,09:08,Hyderabad,South,,Van,Apparel,1.4,60,95.9,35.9,Delayed,Partly Cloudy,4194.54,1,2.5,3.4,19.0632,69.2606
ORD000019,2024-03-29,07:15,Pune,West,RID0100,BIKE,Medicine,16.11,45,45.3,0.3,On-Time,Clear,2108.19,1,6.6,4.4,15.641,86.5226
ORD000020,2024-02-22,11:23,Lucknow,West,RID0019,Auto,Apparel,10.55,90,92.9,2.9,On-Time,Clear,2192.12,1,2.8,3.6,32.4262,76.8739
ORD000021,2024-03-26,06:40,delhi,,RID0116,Van,Grocery,3.56,45,17.1,-27.9,On-Time,Clear,2296.39,2,2.9,5.0,25.8946,78.4251
ORD000022,2024-11-28,11:28,Kolkata,West,RID0045,BIKE,Food,6.17,90,78.9,-11.1,On-Time,Partly Cloudy,3522.74,2,7.8,3.9,18.7822,84.6861
ORD000023,2024-02-04,17:15,Mumbai,Central,RID0122,BIKE,Medicine,4.14,60,91.5,31.5,Delayed,Rain,1381.62,1,4.7,4.2,10.2205,83.5053
ORD000024,2024-02-28,11:42,Pune,Central,RID0035,Auto,Food,6.25,60,36.6,-23.4,On-Time,Clear,1096.88,3,7.8,3.3,11.3592,68.7335
ORD000025,2024-10-26,13:10,Ahmedabad,Central,RID0035,van,Grocery,2.07,60,59.2,-0.8,On-Time,Rain,4595.6,2,6.8,3.8,17.5179,88.1994
ORD000026,2024-10-19,12:20,Hyderabad,Central,RID0083,BIKE,Apparel,8.06,60,57.1,-2.9,On-Time,Clear,1104.41,1,6.0,3.4,12.9299,85.1411
ORD000027,2024-10-17,17:51,Hyderabad,East,RID0023,BIKE,Electronics,2.37,30,57.8,27.8,Delayed,Rain,4227.15,1,5.3,4.2,,
ORD000028,2024-03-17,11:10,chennai,South,RID0091,cycle,Documents,9.83,30,25.7,-4.3,On-Time,Clear,224.17,1,3.9,4.4,35.0956,71.8556
ORD000029,2024-10-01,08:06,Kolkata ,West,RID0143,Auto,Electronics,6.75,90,99.8,9.8,Delayed,Clear,2190.78,3,5.5,4.5,32.6134,78.406
ORD000030,2024-10-14,09:20,Bangaluru,South,RID0077,bike,Electronics,8.25,90,141.1,51.1,Delayed,Fog,4851.19,1,0.5,3.9,12.0607,83.915
ORD000031,2024-10-20,18:54,Mumbai,West,RID0108,Cycle,Medicine,2.53,45,62.0,17.0,Delayed,Clear,906.01,1,3.8,3.8,9.349,82.4801
ORD000032,2024-03-08,11:38,Mumbai,Central,RID0005,Auto,Apparel,16.7,45,25.7,-19.3,On-Time,Clear,355.25,1,1.5,3.2,22.1023,80.2945
ORD000033,2024-04-11,08:37,Mumbai,Central,RID0136,Cycle,Electronics,6.13,120,176.1,56.1,Delayed,Rain,3216.33,2,2.4,4.3,25.6696,78.9629
ORD000034,2024-11-11,19:15,Jaipur,West,RID0120,Cycle,Medicine,11.46,45,58.6 mins,13.6,Delayed,Clear,823.77,1,4.2,3.4,35.2954,87.7898
ORD000035,2024-12-06,19:55,Pune,,RID0112,Van,Apparel,17.17,45,56.6,11.6,Delayed,Clear,720.52,1,7.8,4.1,30.0512,79.6892
ORD000036,2024-02-24,08:00,Kolkata,North,RID0090,Van,Food,269.08,60,68.4,8.4,Delayed,Clear,3058.0,1,5.4,4.8,36.1853,88.5907
ORD000037,2024-10-20,10:03,Bangalore,West,RID0046,Cycle,Grocery,12.65,45,77.0,32.0,Delayed,Fog,2064.59,1,1.9,4.4,22.7043,77.1138
ORD000038,2024-05-15,20:18,Delhi,West,RID0120,cycle,Grocery,488.92,30,82.8,52.8,Delayed,Rain,2494.76,1,4.5,3.6,26.3668,73.4085
ORD000039,2024-07-21,06:16,MUMBAI,Central,RID0067,Van,Electronics,408.43,45,24.3,-20.7,On-Time,Partly Cloudy,1315.43,2,3.3,4.4,12.3101,87.8265
ORD000040,2024-11-06,21:53,Ahmedabad,North,RID0014,auto,Grocery,6.91,120,129.7,9.7,Delayed,Clear,1909.85,1,5.5,5.0,20.3405,83.1451
ORD000041,2024-01-16,13:12,Lucknow,North,RID0022,AUTO,Apparel,16.05,30,89.4,59.4,Delayed,Fog,4549.0,2,2.4,4.2,33.7832,69.8847
ORD000042,2024-03-25,21:08,Ahmedabad,West,RID0072,auto,Grocery,2.02,120,118.6 mins,-1.4,On-Time,Clear,4220.14,1,6.9,4.5,14.3225,76.7154
ORD000043,2024-10-15,07:52,Bangalore,South,RID0089,AUTO,Electronics,8.48,45,102.0,57.0,Delayed,Fog,4852.31,1,1.9,4.1,22.9346,75.0269
ORD000044,2024-06-08,18:42,Jaipur,South,RID0039,Bike,Electronics,16.46,90,118.7,28.7,Delayed,Clear,1420.06,1,5.9,3.3,11.8044,94.278
ORD000045,2024-12-22,09:27,Jaipur,North,RID0121,Auto,Medicine,10.63,60,98.2,38.2,Delayed,Clear,1422.05,2,4.1,4.0,9.7003,79.7269
ORD000046,2024-05-28,13:52,Pune,South,RID0074,AUTO,Documents,6.44,90,93.6,3.6,On-Time,Clear,1423.82,1,4.0,4.1,8.543,93.1694
ORD000047,2024-07-11,17:29,Jaipur,West,RID0142,Auto,Documents,12.82,120,102.6,-17.4,On-Time,Partly Cloudy,1503.25,1,0.4,3.1,14.6169,96.7195
ORD000048,2024-07-07,17:03,delhi,North,RID0046,BIKE,Medicine,5.21,90,97.7,7.7,Delayed,Clear,231.33,1,3.1,3.2,19.0733,71.7571
ORD000049,2024-11-07,21:02,Mumbai,Central,RID0125,Van,Electronics,3.99,45,80.5,35.5,Delayed,Fog,4158.12,2,6.8,4.7,12.764,88.5492
ORD000050,2024-09-14,15:44,Pune,Central,RID0067,bike,Electronics,336.29,30,53.4,23.4,Delayed,Rain,3524.18,1,6.1,4.1,25.6308,83.2202
ORD000051,2024-03-18,13:24, Ahmedabad,East,RID0099,Cycle,Apparel,7.82,60,92.9,32.9,Delayed,Fog,1614.95,1,7.8,3.3,,
ORD000052,2024-10-16,22:20,chennai,East,RID0113,cycle,Grocery,16.16,90,133.7,43.7,Delayed,Fog,4933.86,2,5.1,5.0,9.848,91.1792
ORD000053,2024-05-07,08:22,Chennai,West,RID0126,bike,Medicine,17.15,60,122.1,62.1,Delayed,Rain,4834.07,3,5.1,4.1,30.1342,95.9289
ORD000054,2024-01-10,20:58,Jaipur,North,RID0031,Cycle,Food,4.81,90,125.2,35.2,Delayed,Rain,2307.53,1,2.4,4.3,29.8424,92.3427
ORD000055,2024-10-18,15:28, Ahmedabad,North,,bike,Medicine,15.03,60,71.7,11.7,Delayed,Clear,4001.11,3,3.0,4.7,31.0388,71.0705
ORD000056,2024-11-24,11:37,Hydrabad,North,RID0076,BIKE,Food,13.3,90,96.9,6.9,Delayed,Partly Cloudy,2238.2,1,7.4,4.8,34.7348,91.6262
ORD000057,2024-05-24,18:26,Jaipur,Central,,auto,Food,17.18,45,76.6,31.6,Delayed,Clear,3735.93,1,4.7,4.6,28.1093,86.6912
ORD000058,2024-03-27,08:18,Jaipur,South,,Cycle,Grocery,1.06,45,53.4,8.4,Delayed,Clear,1982.6,1,6.8,4.8,18.1215,82.5157
ORD000059,2024-04-29,17:40,Lucknow,South,RID0117,bike,Electronics,16.52,60,111.1,51.1,Delayed,Clear,4309.43,1,7.1,4.4,14.0334,77.9176
ORD000060,2024-06-18,09:02,Bangalore,East,RID0130,cycle,Medicine,6.82,60,82.2,22.2,Delayed,Clear,4754.69,2,0.7,3.7,20.3404,72.1658
ORD000061,2024-01-22,13:13,Lucknow,East,RID0130,auto,Electronics,11.39,60,74.6,14.6,Delayed,Clear,2318.32,1,4.8,3.4,18.7228,86.4364
ORD000062,2024-01-19,17:44,Kolkata,East,RID0009,cycle,Food,12.33,90,96.3,6.3,Delayed,Clear,1347.55,1,2.5,3.3,26.1928,94.9796
ORD000063,2024-08-14,18:36,Jaipur,,RID0135,AUTO,Apparel,10.89,60,45.9,-14.1,On-Time,Clear,3975.41,1,2.2,4.3,17.7417,85.9888
ORD000064,2024-11-20,07:00,Lucknow,East,RID0018,Auto,Documents,1.92,45,48.1,3.1,On-Time,Clear,2115.83,2,5.8,3.1,12.5057,79.737
ORD000065,2024-10-11,18:35,Jaipur,North,,bike,Electronics,6.62,45,82.7,37.7,Delayed,Clear,4890.41,1,6.9,3.4,18.9413,68.6712
ORD000066,2024-02-25,06:12,Chennai,West,,cycle,Medicine,4.37,90,92.0,2.0,On-Time,Clear,1781.7,1,3.3,3.5,11.2985,77.7478
ORD000067,2024-05-07,17:10,Lucknow,,RID0018,Van,Grocery,9.47,120,122.7 mins,2.7,On-Time,Clear,654.12,2,6.5,4.1,14.6662,91.3619
ORD000068,2024-07-29,14:24,Kolkata,North,,bike,Medicine,8.67,60,89.8,29.8,Delayed,Clear,3414.22,1,0.6,4.1,9.905,73.6181
ORD000069,2024-02-24,09:58,Bangalore,West,RID0025,bike,Food,299.34,45,56.5,11.5,Delayed,Clear,4681.98,3,0.4,3.0,18.1033,70.2536
ORD000070,2024-09-12,06:33,Hyderabad,North,RID0125,AUTO,Apparel,16.15,45,59.6,14.6,Delayed,Clear,770.98,1,5.7,4.7,35.7431,68.6614
ORD000071,2024-11-23,22:38,Bangalore,West,RID0028,Cycle,Grocery,16.74,30,34.8,4.8,On-Time,Partly Cloudy,1804.99,1,5.6,3.2,23.2958,76.0783
ORD000072,2024-03-18,19:39,Lucknow,North,RID0062,BIKE,Food,10.36,90,156.2,66.2,Delayed,Fog,2229.78,1,0.5,4.7,24.6878,91.8656
ORD000073,2024-11-26,08:15,Mumbai,Central,RID0098,van,Medicine,16.98,90,112.0,22.0,Delayed,Partly Cloudy,3243.43,1,7.1,4.5,30.0679,83.136
ORD000074,2024-04-19,08:26,Ahmedabad,,RID0004,auto,Grocery,9.22,60,71.3,11.3,Delayed,Clear,4079.57,2,2.4,4.1,34.2039,88.6781
ORD000075,2024-10-18,06:11,Kolkata ,South,,BIKE,Electronics,6.15,60,70.4,10.4,Delayed,Rain,2727.25,1,4.6,4.6,28.9226,87.4588
ORD000076,2024-05-07,17:09,Lucknow,,RID0012,Bike,Documents,16.44,60,99.5,39.5,Delayed,Rain,1845.16,1,6.9,3.3,36.0255,78.9263
ORD000077,2024-01-18,15:01,Mumbai,Central,RID0110,Cycle,Medicine,4.56,60,61.5,1.5,On-Time,Clear,3975.66,1,7.7,3.8,20.5261,69.4456
ORD000078,2024-05-21,14:41,Hydrabad,,RID0075,Cycle,Medicine,3.87,45,47.9,2.9,On-Time,Clear,2450.11,1,5.2,4.7,17.1324,76.5611
ORD000079,2024-03-04,15:05,Jaipur,South,RID0133,Auto,Grocery,11.53,90,77.8,-12.2,On-Time,Clear,3284.5,2,0.9,3.4,15.023,89.2893
ORD000080,2024-09-04,17:21,Mumbai,North,RID0058,cycle,Grocery,17.22,120,123.4,3.4,On-Time,Partly Cloudy,4500.17,1,2.2,4.9,14.4663,86.5034
ORD000081,2024-04-12,10:55,Kolkata,North,RID0077,auto,Food,15.38,30,53.2,23.2,Delayed,Clear,4874.95,1,4.4,5.0,31.6403,83.5088
ORD000082,2024-02-13,22:41,Delhi,East,,Auto,Grocery,1.74,90,86.1,-3.9,On-Time,Clear,3149.08,1,3.4,4.6,8.212,82.7865
ORD000083,2024-05-09,21:44,Bangalore,Central,RID0084,Van,Medicine,7.77,45,15.7,-29.3,On-Time,Clear,1057.83,2,5.1,4.7,13.4383,76.5055
ORD000084,2024-05-09,10:45,Kolkata,East,,auto,Apparel,6.01,30,64.3,34.3,Delayed,Rain,3246.76,1,4.2,3.7,9.8674,94.0177
ORD000085,2024-09-14,06:42,Hyderabad,Central,RID0148,Bike,Grocery,7.68,45,31.4,-13.6,On-Time,Clear,602.6,1,0.4,4.0,28.666,80.2866
ORD000086,2024-12-05,12:41,Delhi,,,Auto,Documents,3.19,90,138.8,48.8,Delayed,Fog,4454.3,2,0.2,3.6,25.8062,86.1553
ORD000087,2024-12-01,13:06,Chennai,North,RID0138,van,Food,8.62,90,109.2,19.2,Delayed,Clear,3293.86,1,1.2,3.2,30.3259,88.6638
ORD000088,2024-05-05,22:26,Kolkata,North,RID0017,Auto,Apparel,9.03,90,84.5,-5.5,On-Time,Clear,1852.58,3,2.9,4.9,28.2128,71.7431
ORD000089,2024-03-29,11:15,Pune,Central,,auto,Medicine,5.43,45,13.7,-31.3,On-Time,Partly Cloudy,3151.4,1,1.1,3.2,21.0673,83.2218
ORD000090,2024-06-22,09:48,Hydrabad,East,RID0071,Bike,Medicine,16.55,30,80.8,50.8,Delayed,Rain,1765.38,1,5.2,3.9,23.211,94.6897
ORD000091,2024-07-24,07:36,Chennai,South,,Bike,Documents,4.54,60,95.3,35.3,Delayed,Fog,2363.11,1,0.2,3.4,26.6517,90.9243
ORD000092,2024-05-03,20:07,Chennai,Central,RID0081,AUTO,Medicine,3.4,45,67.4,22.4,Delayed,Clear,2202.98,2,3.1,3.7,19.6236,75.8093
ORD000093,2024-12-05,09:56,Kolkata,East,RID0070,Van,Electronics,1.06,30,45.7,15.7,Delayed,Clear,219.94,2,2.5,4.2,32.0719,83.7237
ORD000094,2024-08-15,10:44,Mumbai,Central,RID0144,AUTO,Electronics,3.75,90,153.8,63.8,Delayed,Rain,994.04,1,5.6,4.0,8.7399,86.6771
ORD000095,2024-11-27,18:15,Chennai,East,RID0059,Auto,Medicine,17.47,45,68.7,23.7,Delayed,Clear,3859.7,1,5.9,3.5,25.3246,85.2584
ORD000096,2024-05-24,18:29,Chennai,West,,Cycle,Documents,11.21,45,80.5,35.5,Delayed,Rain,249.22,1,2.4,4.1,30.4622,85.9554
ORD000097,2024-11-25,14:13,Jaipur,,RID0143,Bike,Apparel,2.5,60,84.4,24.4,Delayed,Clear,1172.45,1,6.7,3.0,27.7688,70.9408
ORD000098,2024-04-21,19:06,Mumbai,Central,RID0059,Cycle,Grocery,5.75,45,47.5,2.5,On-Time,Clear,3370.02,1,7.0,3.1,26.9906,73.013
ORD000099,2024-06-16,22:28,Kolkata,South,RID0107,bike,Apparel,9.36,90,124.1,34.1,Delayed,Rain,4199.54,1,7.6,4.1,21.2155,79.8022
ORD000100,2024-01-23,22:19,Jaipur,,RID0026,Auto,Grocery,15.18,120,100.4,-19.6,On-Time,Partly Cloudy,1098.7,1,3.8,4.3,14.2585,83.2423
ORD000101,2024-10-03,12:45,Mumbai,East,RID0106,AUTO,Electronics,3.16,120,98.4,-21.6,On-Time,Clear,3666.13,1,0.9,4.4,28.9472,83.7027
ORD000102,2024-06-24,11:07,Lucknow,East,RID0027,Bike,Electronics,4.28,60,75.7,15.7,Delayed,Partly Cloudy,2570.34,1,1.7,3.8,22.527,86.8839
ORD000103,2024-07-19,09:22,Jaipur,South,RID0111,auto,Food,12.98,45,78.8,33.8,Delayed,Fog,1280.91,1,1.4,3.8,10.6121,75.9263
ORD000104,2024-03-17,11:59,Lucknow,North,RID0020,Bike,Grocery,5.46,45,67.2,22.2,Delayed,Fog,4401.97,1,3.1,4.4,29.0451,76.8073
ORD000105,2024-06-27,09:11,chennai,West,RID0011,cycle,Documents,2.75,30,68.2,38.2,Delayed,Partly Cloudy,1084.09,1,4.8,4.8,32.2187,75.0356
ORD000106,2024-06-21,18:17,Jaipur,West,RID0033,auto,Medicine,15.81,60,118.1,58.1,Delayed,Rain,4860.53,2,6.8,4.5,23.5456,74.5963
ORD000107,2024-11-02,06:56,Mumbai,South,RID0097,van,Apparel,4.85,45,30.3,-14.7,On-Time,Clear,3422.96,1,3.3,4.5,11.9706,68.3777
ORD000108,2024-01-26,13:58,Lucknow,East,RID0057,BIKE,Grocery,5.4,60,62.8,2.8,On-Time,Clear,4504.47,1,7.7,4.3,30.2191,72.0904
ORD000109,2024-09-12,08:33,Jaipur,West,RID0020,van,Grocery,15.45,60,61.5,1.5,On-Time,Partly Cloudy,2650.93,1,5.3,4.7,10.2215,80.0147
ORD000110,2024-02-28,18:16,Hyderabad,East,RID0147,van,Apparel,6.67,45,34.9,-10.1,On-Time,Clear,94.12,1,0.4,4.3,13.3691,86.0617
ORD000111,2024-06-18,19:06,Hyderabad,East,RID0130,AUTO,Apparel,4.94,60,101.9,41.9,Delayed,Clear,2065.47,1,7.1,4.4,,
ORD000112,2024-05-11,09:46,Ahmedabad,East,RID0102,BIKE,Grocery,17.03,45,64.4,19.4,Delayed,Rain,3197.95,1,4.9,3.8,25.6438,84.116
ORD000113,2024-10-29,21:51,Hyderabad,East,RID0049,van,Food,12.57,90,101.1,11.1,Delayed,Clear,140.67,2,5.1,4.2,19.1415,83.9838
ORD000114,2024-03-05,21:42,Jaipur,West,RID0131,AUTO,Food,16.76,45,46.7,1.7,On-Time,Clear,4864.29,1,5.9,4.0,33.9228,90.0414
ORD000115,2024-01-26,15:31,Pune,West,RID0004,bike,Food,1.16,90,116.9,26.9,Delayed,Partly Cloudy,2139.02,1,0.9,4.7,13.3701,89.4005
ORD000116,2024-10-22,16:12,Ahmedabad,South,RID0104,auto,Apparel,12.09,60,89.9,29.9,Delayed,Clear,3638.61,1,2.1,4.2,23.692,68.2805
ORD000117,2024-06-22,20:25,Hyderabad,,RID0074,Van,Electronics,13.79,90,125.5,35.5,Delayed,Rain,3784.09,2,7.7,4.6,13.2387,91.2257
ORD000118,2024-03-14,18:02,Jaipur,South,RID0036,bike,Food,13.72,120,131.6,11.6,Delayed,Clear,3693.18,1,4.6,4.3,18.672,69.4895
ORD000119,2024-09-30,17:19,Chennai,Central,RID0049,AUTO,Apparel,3.18,60,67.1,7.1,Delayed,Partly Cloudy,1217.8,1,7.4,3.8,20.1029,96.3576
ORD000120,2024-04-26,17:35,Ahmedabad,South,RID0054,AUTO,Grocery,12.79,60,92.9,32.9,Delayed,Rain,325.42,3,6.9,3.2,8.5878,79.442
ORD000121,2024-10-31,07:39,Lucknow,South,RID0100,Cycle,Electronics,13.66,45,62.8,17.8,Delayed,Rain,1643.36,2,0.9,5.0,10.6498,71.0447
ORD000122,2024-10-28,15:10,Hyderabad,East,RID0144,auto,Documents,12.8,45,26.0,-19.0,On-Time,Clear,2656.3,1,0.7,3.8,21.7915,74.5786
ORD000123,2024-07-31,11:12,Mumbai,South,RID0085,BIKE,Apparel,3.62,90,99.8,9.8,Delayed,Clear,1320.85,1,5.0,4.1,14.1749,90.5589
ORD000124,2024-04-13,10:56,Lucknow,East,,Auto,Grocery,4.17,90,125.2,35.2,Delayed,Rain,177.95,1,5.9,3.8,9.5938,77.8302
ORD000125,2024-08-22,09:04,Bangalore,East,RID0038,cycle,Medicine,5.3,60,76.6,16.6,Delayed,Clear,4998.36,2,8.0,4.5,23.6431,92.2648
ORD000126,2024-01-15,12:28,delhi,West,RID0019,Auto,Documents,11.15,90,111.5,21.5,Delayed,Rain,1769.92,2,2.5,4.5,15.326,69.2805
ORD000127,2024-06-05,14:14,Lucknow,East,RID0032,Bike,Apparel,6.32,45,67.6,22.6,Delayed,Rain,4518.57,1,3.9,3.1,24.5523,73.855
ORD000128,2024-10-24,16:08,Lucknow,West,RID0093,auto,Grocery,15.75,60,40.6,-19.4,On-Time,Clear,1048.27,1,6.9,3.8,23.3819,76.2425
ORD000129,2024-07-12,13:16,Delhi,South,RID0087,auto,Food,15.06,30,22.0,-8.0,On-Time,Clear,439.87,2,3.4,4.8,17.6273,89.8103
ORD000130,2024-10-02,12:48,Pune,West,RID0060,auto,Medicine,4.03,60,75.3,15.3,Delayed,Clear,2646.22,2,7.7,3.9,24.1134,87.5521
ORD000131,2024-02-10,21:39,Lucknow,West,RID0033,van,Documents,14.66,120,156.5,36.5,Delayed,Fog,2849.89,2,3.6,3.2,36.7467,79.631
ORD000132,2024-03-21,20:53,Pune,Central,RID0018,AUTO,Food,10.8,45,72.3,27.3,Delayed,Clear,4387.71,1,5.7,4.2,14.6726,70.6998
ORD000133,2024-09-11,19:11,Lucknow,,RID0138,AUTO,Electronics,15.35,90,134.3,44.3,Delayed,Rain,2561.0,2,7.4,3.4,24.2704,95.5908
ORD000134,2024-10-09,18:29,Ahmedabad,East,RID0056,van,Apparel,1.0,90,107.3,17.3,Delayed,Rain,555.95,1,1.2,4.1,25.8692,78.9665
ORD000135,2024-10-05,17:34,Jaipur,East,RID0069,auto,Medicine,6.94,30,45.8,15.8,Delayed,Clear,226.91,1,5.5,4.5,31.4178,90.1921
ORD000136,2024-01-08,10:17,Hyderabad,South,RID0058,BIKE,Documents,17.42,60,37.1,-22.9,On-Time,Partly Cloudy,2297.61,1,1.3,4.9,22.8855,82.0259
ORD000137,2024-09-29,10:08,Hyderabad,East,RID0071,auto,Apparel,1.0,60,63.7,3.7,On-Time,Partly Cloudy,3525.96,2,6.3,3.0,25.1508,93.8102
ORD000138,2024-06-24,08:35,Bangalore,South,RID0020,AUTO,Electronics,15.91,60,77.3,17.3,Delayed,Clear,1844.19,1,7.8,3.3,35.358,83.6048
ORD000139,2024-02-10,18:55,Mumbai,East,RID0037,Cycle,Grocery,1.15,60,76.6,16.6,Delayed,Partly Cloudy,1889.53,2,5.2,4.4,16.1897,85.2682
ORD000140,2024-01-28,17:00,Lucknow,North,RID0126,auto,Electronics,5.97,45,86.5,41.5,Delayed,Fog,2887.77,1,3.3,3.2,18.8349,85.4328
ORD000141,2024-02-11,21:01,Hyderabad,,RID0031,bike,Food,2.88,60,38.1,-21.9,On-Time,Clear,2056.08,1,6.1,4.3,28.4011,79.2141
ORD000142,2024-12-09,18:23,Jaipur,East,RID0005,Van,Apparel,8.27,90,67.7,-22.3,On-Time,Clear,994.33,1,4.7,3.5,11.1122,80.4915
ORD000143,2024-05-17,07:09,Mumbai,West,RID0103,AUTO,Apparel,15.6,60,59.6,-0.4,On-Time,Rain,4606.29,1,7.5,5.0,17.1578,75.2082
ORD000144,2024-09-18,09:36,Delhi,East,RID0137,bike,Apparel,261.59,60,87.9,27.9,Delayed,Clear,3148.38,1,5.0,4.2,20.1579,69.8263
ORD000145,2024-02-15,09:53,Bangalore,South,RID0011,Bike,Apparel,6.44,90,87.6,-2.4,On-Time,Clear,194.85,1,1.1,3.6,36.9693,88.279
ORD000146,2024-06-21,22:53,MUMBAI,Central,RID0034,BIKE,Medicine,9.01,60,80.8,20.8,Delayed,Fog,3806.73,1,4.7,3.5,30.9851,85.7038
ORD000147,2024-05-09,12:29,Ahmedabad,East,RID0030,bike,Apparel,5.05,30,11.5,-18.5,On-Time,Fog,3778.35,1,1.8,4.6,13.5835,89.4032
ORD000148,2024-04-04,11:40,Pune,South,RID0100,Auto,Apparel,14.48,45,49.4,4.4,On-Time,Clear,1725.5,1,6.7,3.2,17.901,92.9121
ORD000149,2024-11-20,09:49,Hydrabad,North,RID0123,van,Electronics,14.69,120,129.5,9.5,Delayed,Clear,3208.0,2,7.9,4.9,29.3509,94.6805
ORD000150,2024-10-30,13:33,Pune,South,RID0142,auto,Grocery,4.08,90,103.3,13.3,Delayed,Clear,4553.53,1,0.9,3.4,29.8929,75.8055
ORD000151,2024-11-27,16:00,Bangalore,West,,Van,Documents,17.58,45,80.7,35.7,Delayed,Fog,2918.4,2,5.3,4.6,29.2861,71.5211
ORD000152,2024-06-24,13:20,Pune,East,RID0146,cycle,Grocery,4.06,60,67.5,7.5,Delayed,Clear,1709.16,1,2.5,4.9,31.1667,77.9146
ORD000153,2024-11-23,07:04,Kolkata ,North,RID0003,Bike,Food,17.29,90,101.9,11.9,Delayed,Clear,433.71,1,6.9,4.9,14.6623,74.8199
ORD000154,2024-05-23,07:51,Lucknow,West,RID0057,BIKE,Documents,5.13,90,85.4,-4.6,On-Time,Partly Cloudy,892.73,2,6.0,4.4,9.6389,90.8025
ORD000155,2024-04-09,07:50,Bangalore,South,RID0025,Cycle,Medicine,11.99,90,93.1,3.1,On-Time,Partly Cloudy,1002.75,2,3.4,3.6,34.5363,91.642
ORD000156,2024-06-20,15:29,Lucknow,North,RID0084,Cycle,Food,14.27,60,56.5,-3.5,On-Time,Clear,1203.51,1,2.9,3.1,30.5214,88.1085
ORD000157,2024-05-17,15:17,Bangalore,,RID0033,AUTO,Apparel,8.51,90,129.3,39.3,Delayed,Partly Cloudy,1709.32,1,3.7,3.8,26.3146,70.0963
ORD000158,2024-11-17,21:29,chennai,South,RID0040,Auto,Apparel,2.63,90,76.5,-13.5,On-Time,Clear,2605.83,1,2.5,4.0,19.6421,96.8884
